0|lenght|means|Max_on_one_word|median|median_high|median_low|date_time
0|7848|2.2686034658511725|156|1.0|1|1|06/14/2021, 19H52
0|7923|2.2754007320459424|177|1|1|1|06/14/2021, 21H07
0|7917|2.3063028925097893|168|1|1|1|06/14/2021, 22H23
0|7748|2.4709602478058854|180|1.0|1|1|06/14/2021, 23H38
0|8276|2.321532141130981|146|1.0|1|1|06/15/2021, 00H54
0|7920|2.352020202020202|163|1.0|1|1|06/15/2021, 02H30
0|8208|2.2819200779727096|168|1.0|1|1|06/15/2021, 02H54
0|8251|2.3179008605017573|163|1|1|1|06/15/2021, 03H10
0|8116|2.3506653523903402|168|1.0|1|1|06/15/2021, 03H19
0|8422|2.2251246734742343|319|1.0|1|1|06/15/2021, 17H32
0|7497|2.452581032412965|181|1|1|1|06/15/2021, 18H48
0|8255|2.31290127195639|142|1|1|1|06/15/2021, 20H03
0|7315|2.4462064251537936|147|1|1|1|06/15/2021, 21H19
0|6204|2.5411025145067696|188|1.0|1|1|06/15/2021, 22H35
0|7799|2.4604436466213615|172|1|1|1|06/15/2021, 23H50
0|9253|2.0657084188911705|105|1|1|1|06/16/2021, 17H18
0|8975|2.1416155988857937|100|1|1|1|06/16/2021, 18H34
